Management,Type,Acres,District,Field Office,Name,Lease Status
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),197.658256451,N/A,Royal Gorge,Cucharas Canyon ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),161.248900641,N/A,Uncompahgre,Fairview RNA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),787.368976369,Albuquerque,Rio Puerco,San Luis Mesa,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3623.28358195,N/A,Royal Gorge,Mosquito Pass ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),111.494133973,N/A,Royal Gorge,Mosquito Pass ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),834.963626013,N/A,Royal Gorge,Arkansas Canyonlands ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),11633.1800431,N/A,Royal Gorge,Browns Canyon ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),23039.7087439,N/A,Royal Gorge,Arkansas Canyonlands ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),6069.43117112,N/A,Royal Gorge,Phantom Canyon ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),3753.04444527,N/A,Royal Gorge,Beaver Creek ACEC,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1903.29634346,N/A,Royal Gorge,Grape Creek ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),13752.7517152,N/A,Royal Gorge,Grape Creek ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),10.2504241677,N/A,Royal Gorge,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),6356.39718960,N/A,Uncompahgre,Adobe Badlands ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1.50802155695,Farmington,Farmington,San Juan #6 Unit,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),160.540636480,Albuquerque,Rio Puerco,Tapia Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3.61582682231,Farmington,Farmington,Pine #2,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),13382.5903732,Albuquerque,Rio Puerco,Ojito,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),128.846772676,Albuquerque,Rio Puerco,Ojito,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),712.214549185,Albuquerque,Rio Puerco,San Luis Mesa,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),6223.46320529,Albuquerque,Rio Puerco,San Luis Mesa,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),50.7182348866,Albuquerque,Rio Puerco,Bluewater,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),150.969435558,Farmington,Farmington,Casamero Community,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),4125.90288891,Albuquerque,Rio Puerco,Tent Rocks,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (CLOSED),5152.35436800,Albuquerque,Rio Puerco,Cabezon Peak,CLOSED
Bureau of Land Management,Area of Critical Environmental Concern (CLOSED),181.073581577,Albuquerque,Rio Puerco,Ball Ranch,CLOSED
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),3707.94009529,Farmington,Farmington,Simon Ruin,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),91.0539774279,Farmington,Farmington,Eul Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),12.4190435678,Farmington,Farmington,Animas #3,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),72.7486049347,Farmington,Farmington,Bancos #1,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),65.1071708746,Farmington,Farmington,Bancos #3,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4.38643346906,Farmington,Farmington,Pine #1,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),8.27380905958,Farmington,Farmington,Dick Earl Canyon Unit,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),303.379176710,Albuquerque,Rio Puerco,Tapia Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),166.214318236,Albuquerque,Rio Puerco,Ojito,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),158.845703894,Albuquerque,Rio Puerco,Ojito,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),22.3274473887,Farmington,Farmington,Bancos #3,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),95.0242928246,Albuquerque,Rio Puerco,Tapia Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),17.0057120421,Farmington,Farmington,San Juan #2 Unit,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),24.1739674038,Farmington,Farmington,Animas #1,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),132.580014800,Farmington,Farmington,Bancos #5,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1.92559110104,Farmington,Farmington,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1364.25934158,Farmington,Farmington,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),126.364094951,Farmington,Farmington,Spruce Canyon Unit,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.78180506713,Farmington,Farmington,Dick Earl Canyon Unit,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3.39490344003,Farmington,Farmington,Pine #3,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),5.27210370802,Farmington,Farmington,La Jara #6 Unit,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),1.74716389005,Farmington,Farmington,La Jara #5 Unit,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),8.25969701980,Farmington,Farmington,La Jara #2,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),21.3228812047,Farmington,Farmington,La Jara #4,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),4.05937980052,Farmington,Farmington,La Jara #3 Unit,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),161.347597515,Farmington,Farmington,Hogback,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),610.847470336,Farmington,Farmington,Torreon Fossil Fauna West,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),12.3322482510,Farmington,Taos,San Antonio Gorge,OPEN
Bureau of Land Management,National Monument,3682.74305664,N/A,Dolores,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),9290.45947225,Farmington,Farmington,Hogback,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.4794515047,Farmington,Farmington,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),60.0084243044,Farmington,Farmington,Crow Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),3301.33114307,Farmington,Farmington,Crow Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),192.832946413,Farmington,Farmington,Tapacito and Split Rock,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),239.476726264,Farmington,Farmington,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),80.7179452042,Farmington,Farmington,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),6672.01056099,Farmington,Taos,Winter Range,OPEN
Bureau of Land Management,Historic/Scenic Trail,8362.42665109,,Grand Junction,,
Bureau of Land Management,National Conservation Area,134.803465796,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,109.983462062,California Desert,Ridgecrest,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),479.515575704,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),638.729878349,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),248.277164679,Farmington,Farmington,Angel Peak,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),419.852249177,Farmington,Farmington,Superior Mesa,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),61.6948749757,Farmington,Taos,San Antonio Gorge,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),38.5658098588,Farmington,Taos,San Antonio Gorge,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),30.0796918122,Farmington,Taos,Copper Hill,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),110.355610572,Farmington,Taos,Ojo Caliente,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),1264.67770755,Farmington,Taos,La Cienega,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),158.647064395,Farmington,Taos,San Antonio Gorge,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),8602.74780791,Farmington,Taos,Sombrillo,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),2285.82959227,Farmington,Taos,La Cienega,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),11.2793363006,Farmington,Taos,La Cienega,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),9805.45481348,N/A,Gunnison,South Beaver Creek ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),48552.6304528,Farmington,Taos,Black Mesa,OPEN
Bureau of Land Management,Historic/Scenic Trail,67397.7077896,,Rio Puerco,,
Bureau of Land Management,Historic/Scenic Trail,100860.393856,,Taos,,
Bureau of Land Management,Historic/Scenic Trail,51867.0272661,,Saguache,,
Bureau of Land Management,Wilderness Area,38310.1826398,Farmington,Farmington,,
Bureau of Land Management,National Conservation Area,299.212453072,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,3.73326520744,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,2.14879803976,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,1.67805567652,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,1.37743763751,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,3.73530567864,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,638.298802387,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,62.3031414343,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,4.66197989779,California Desert,Ridgecrest,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),633.765913844,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),2406.09511196,N/A,Glenwood Springs,Deep Creek ACEC,UNKNOWN
Bureau of Land Management,National Conservation Area,87.6884096741,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,253.849623639,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,7.73198234498,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,29.7890167894,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,3.31123669982,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,642.263037947,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,3.73579652757,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,2.82615767315,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,23690.2271504,California Desert,Ridgecrest,,
Bureau of Land Management,Wilderness Area,23690.7161085,California Desert,Ridgecrest,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3.73579652741,California Desert,Ridgecrest,Fremont-Kramer DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,42.3895265378,California Desert,Ridgecrest,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),42.3895265372,California Desert,Ridgecrest,Last Chance Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),634.081895023,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,National Conservation Area,98.5797890021,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,187.600836698,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,20.1952133169,California Desert,Ridgecrest,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5528.00003602,California Desert,Ridgecrest,Last Chance Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3.31123669988,California Desert,Ridgecrest,Fremont-Kramer DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),29.7890167899,California Desert,Ridgecrest,Fremont-Kramer DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),685.258307288,California Desert,Ridgecrest,Fremont-Kramer DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),2.82615767316,California Desert,Ridgecrest,Fremont-Kramer DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),38915.2507792,California Desert,Ridgecrest,Fremont-Kramer DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,40427.3022849,California Desert,Ridgecrest,,
Bureau of Land Management,Historic/Scenic Trail,34594.6816836,,Rawlins,,
Bureau of Land Management,Wilderness Study Area,1.89865049291,N/A,Glenwood Springs,,
Bureau of Land Management,Wilderness Study Area,2.37928843612,N/A,Glenwood Springs,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),634.903381899,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),638.673073006,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),638.327448277,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),639.142953366,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),116.183701274,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),621.947248458,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),636.926856844,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),14.3468853978,N/A,Lander,Green Mountain,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),7.96307950331,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),595.458273732,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),618.464637406,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),625.520539388,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),561.266984029,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),157.102357523,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),594.025420252,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),637.072471536,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),40.1578978148,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),478.553017930,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),640.270852885,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),637.472587487,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),635.366186120,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),319.460443166,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),45.1697325279,N/A,Lander,Green Mountain,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),23.8813641743,N/A,Lander,Green Mountain,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),523.228270213,N/A,Lander,Green Mountain,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),637.012804648,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),474.045799573,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),484.593763340,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),638.311992340,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),186.524108273,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),167.921592700,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),431.848145488,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),434.821817081,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),617.753015288,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),596.968234256,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),30.7394676311,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),404.147760414,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),694.294095950,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),31.3788492101,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),574.689043267,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),543.959451133,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),630.756430418,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),575.237996423,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),583.057545112,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1.29718196862,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),585.817186510,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),624.959141916,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1.26958709408,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),634.030844373,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),648.006066321,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),569.077359483,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),614.438607695,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),650.316765462,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),2.85964815091,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),621.328767648,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),646.558328659,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),638.852611119,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),481.998358027,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),633.180839884,N/A,Rawlins,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),8353.77500982,N/A,Rawlins,Sand Hills/JO Ranch ACEC,OPEN
Bureau of Land Management,National Wildlife Refuge,1.75798858813,N/A,Kremmling,,
Bureau of Land Management,Historic/Scenic Trail,5385.81978539,,Kremmling,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.71393602404,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Wilderness Study Area,32.9592312480,N/A,Kremmling,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.1942020141,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),239.314080330,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),162.444949022,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),21.0458788601,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),319.313856775,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),20.3018454734,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),12.0565482725,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),197.220576519,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),352.752995102,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Wilderness Study Area,8078.04909973,N/A,Kremmling,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),6.62029775443,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),317.811728150,N/A,Kremmling,North Park Research National Area ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),198.311292019,N/A,Kremmling,Ammonite Site ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),15.1400100356,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),26.9202191201,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.71232104072,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.71235217182,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1226.93707779,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.1110214334,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),78.7881273888,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.9670970309,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),553.765532648,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),198.357587726,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),508.064066253,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),118.211065999,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),225.869656248,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.66188247206,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.9171934821,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),17.4861992340,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.24969125252,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.28852925498,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),11.3911481544,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),24.8240266537,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),7196.96325245,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),197.650614242,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.8840332025,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),38.4601318194,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),2.36809775682,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),105.590095997,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.50376696481,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),914.982233546,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),80.5617324678,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),13.6258220558,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.3777422238,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4053.24089137,N/A,Casper,UNKNOWN,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),7.53451409384,N/A,Casper,UNKNOWN,UNKNOWN
